,tconst,nconst
3667,tt0084695,nm0427468
3668,tt0084698,nm0782384
3669,tt0084704,nm0322785
3670,tt0084707,nm0001587
3671,tt0084714,nm0467646
3672,tt0084719,nm0002086
3673,tt0084725,nm0000694
3674,tt0084726,nm0583292
3675,tt0084728,nm0000788
3676,tt0084732,nm0000914
3677,tt0084737,nm0459170
3678,tt0084739,nm0730586
3679,tt0084740,nm0258977
3680,tt0084745,nm0000127
3681,tt0084749,nm0089502
3682,tt0084756,nm0145309
3683,tt0084776,nm0005196
3684,tt0084777,nm0000783
3685,tt0084786,nm0393212
3686,tt0084787,nm0000118
3687,tt0084805,nm0001628
3688,tt0084808,nm0001901
3689,tt0084809,nm0001149
3690,tt0084813,nm0000934
3691,tt0084821,nm0001874
3692,tt0084824,nm0749914
3693,tt0084827,nm0513974
3694,tt0084843,nm0218840
3695,tt0084854,nm0353592
3696,tt0084855,nm0001486
3697,tt0084861,nm0792446
3698,tt0084865,nm0001175
3699,tt0084867,nm0527350
3700,tt0084881,nm0441540
3701,tt0084887,nm0170113
3702,tt0084899,nm0002087
3703,tt0084917,nm0001351
3704,tt0084920,nm0112218
3705,tt0084938,nm0005190
3706,tt0085121,nm0496746
3707,tt0085124,nm0144758
3708,tt0085125,nm0553941
3709,tt0085154,nm0152469
3710,tt0085180,nm0000975
3711,tt0085204,nm0872062
3712,tt0085208,nm0000626
3713,tt0085210,nm0742819
3714,tt0085213,nm0778633
3715,tt0085218,nm0556048
3716,tt0085226,nm0730237
3717,tt0085234,nm0427880
3718,tt0085236,nm0533334
3719,tt0085240,nm0604335
3720,tt0085244,nm0001410
3721,tt0085248,nm0198395
3722,tt0085255,nm0000824
3723,tt0085267,nm0001962
3724,tt0085271,nm0874320
3725,tt0085276,nm0564319
3726,tt0085289,nm0092372
3727,tt0085297,nm0767022
3728,tt0085303,nm0000877
3729,tt0085318,nm6497799
3730,tt0085327,nm0179281
3731,tt0085328,nm0000972
3732,tt0085333,nm0000118
3733,tt0085334,nm0163706
3734,tt0085346,nm0137573
3735,tt0085354,nm0891554
3736,tt0085356,nm0002086
3737,tt0085366,nm0264967
3738,tt0085370,nm0476123
3739,tt0085375,nm0001471
3740,tt0085380,nm0728688
3741,tt0085382,nm0853546
3742,tt0085385,nm0162992
3743,tt0085387,nm0001708
3744,tt0085390,nm0293989
3745,tt0085390,nm0005062
3746,tt0085390,nm0571781
3747,tt0085398,nm0001486
3748,tt0085400,nm0849609
3749,tt0085407,nm0000343
3750,tt0085426,nm0000108
3751,tt0085454,nm0001352
3752,tt0085461,nm0946811
3753,tt0085470,nm0797526
3754,tt0085473,nm0437596
3755,tt0085478,nm0318150
3756,tt0085496,nm0000264
3757,tt0085514,nm0002189
3758,tt0085515,nm0189484
3759,tt0085529,nm0088397
3760,tt0085542,nm0000835
3761,tt0085549,nm0001490
3762,tt0085551,nm0035106
3763,tt0085601,nm0005645
3764,tt0085615,nm0000776
3765,tt0085636,nm0908890
3766,tt0085640,nm0000694
3767,tt0085656,nm0438279
3768,tt0085678,nm0404606
3769,tt0085693,nm0908103
3770,tt0085694,nm0743093
3771,tt0085701,nm0001716
3772,tt0085755,nm0950109
3773,tt0085780,nm0000520
3774,tt0085794,nm0000217
3775,tt0085809,nm0716585
3776,tt0085811,nm0946811
3777,tt0085859,nm0287025
3778,tt0085862,nm0142587
3779,tt0085867,nm0734466
3780,tt0085872,nm0000941
3781,tt0085872,nm0599863
3782,tt0085878,nm0000894
3783,tt0085891,nm0001175
3784,tt0085894,nm0005348
3785,tt0085900,nm0220227
3786,tt0085918,nm0240826
3787,tt0085919,nm0006889
3788,tt0085933,nm0651915
3789,tt0085959,nm0001402
3790,tt0085970,nm0236769
3791,tt0085980,nm0101055
3792,tt0085991,nm0475542
3793,tt0085994,nm0265564
3794,tt0085995,nm0000601
3795,tt0086005,nm0050597
3796,tt0086006,nm0449984
3797,tt0086014,nm0765121
3798,tt0086034,nm0322515
3799,tt0086036,nm0181902
3800,tt0086050,nm0572951
3801,tt0086050,nm0775512
3802,tt0086058,nm0001603
3803,tt0086066,nm0000338
3804,tt0086079,nm0688585
3805,tt0086087,nm0006445
3806,tt0086104,nm0407061
3807,tt0086113,nm0499641
3808,tt0086129,nm0163706
3809,tt0086143,nm0085457
3810,tt0086148,nm0223411
3811,tt0086153,nm0000419
3812,tt0086154,nm0002207
3813,tt0086190,nm0549658
3814,tt0086192,nm0278735
3815,tt0086197,nm0442241
3816,tt0086200,nm0001887
3817,tt0086203,nm0807749
3818,tt0086205,nm0002137
3819,tt0086213,nm0657484
3820,tt0086216,nm0000338
3821,tt0086242,nm0406728
3822,tt0086244,nm0297935
3823,tt0086250,nm0000361
3824,tt0086276,nm0233050
3825,tt0086276,nm0640126
3826,tt0086312,nm0001566
3827,tt0086320,nm0385349
3828,tt0086336,nm0002338
3829,tt0086343,nm0889402
3830,tt0086346,nm0425593
3831,tt0086355,nm0002080
3832,tt0086356,nm0001382
3833,tt0086366,nm0001045
3834,tt0086374,nm0490861
3835,tt0086377,nm0000265
3836,tt0086383,nm0000142
3837,tt0086393,nm0504513
3838,tt0086397,nm0006916
3839,tt0086410,nm0274659
3840,tt0086420,nm0001945
3841,tt0086423,nm0000915
3842,tt0086425,nm0000985
3843,tt0086429,nm0003313
3844,tt0086443,nm0213100
3845,tt0086450,nm0424466
3846,tt0086456,nm0541244
3847,tt0086465,nm0000484
3848,tt0086489,nm0466793
3849,tt0086489,nm0842415
3850,tt0086491,nm0001102
3851,tt0086491,nm0000484
3852,tt0086491,nm0004306
3853,tt0086491,nm0000229
3854,tt0086497,nm0614276
3855,tt0086508,nm0467646
3856,tt0086510,nm0006854
3857,tt0086525,nm0004838
3858,tt0086541,nm0000343
3859,tt0086542,nm0720297
3860,tt0086551,nm0000076
3861,tt0086566,nm0577025
3862,tt0086567,nm0000824
3863,tt0086589,nm0790715
3864,tt0086593,nm0415494
3865,tt0086610,nm0111332
3866,tt0086617,nm0001837
3867,tt0086618,nm0198991
3868,tt0086619,nm0000659
3869,tt0086636,nm0002194
3870,tt0086637,nm0000095
3871,tt0086643,nm0672060
3872,tt0086650,nm0681207
3873,tt0086655,nm0065449
3874,tt0086837,nm0001382
3875,tt0086846,nm0770918
3876,tt0086856,nm0725379
3877,tt0086859,nm0000431
3878,tt0086872,nm0912981
3879,tt0086873,nm0005348
3880,tt0086879,nm0001232
3881,tt0086886,nm0742819
3882,tt0086890,nm0720297
3883,tt0086896,nm0642057
3884,tt0086902,nm0290877
3885,tt0086904,nm0437709
3886,tt0086907,nm0856267
3887,tt0086927,nm0411477
3888,tt0086936,nm0001348
3889,tt0086936,nm0717094
3890,tt0086960,nm0000976
3891,tt0086969,nm0000570
3892,tt0086973,nm0002045
3893,tt0086979,nm0001054
3894,tt0086981,nm0131708
3895,tt0086984,nm0000361
3896,tt0086992,nm0412465
3897,tt0086993,nm0002044
3898,tt0086994,nm0136021
3899,tt0086998,nm0797854
3900,tt0086999,nm0278735
3901,tt0087001,nm0602333
3902,tt0087003,nm0000095
3903,tt0087004,nm0000626
3904,tt0087006,nm0429958
3905,tt0087015,nm0154877
3906,tt0087032,nm0624102
3907,tt0087034,nm0742940
3908,tt0087050,nm0452607
3909,tt0087054,nm0748928
3910,tt0087062,nm0000907
3911,tt0087065,nm0002207
3912,tt0087068,nm0546672
3913,tt0087072,nm0287025
3914,tt0087075,nm0001403
3915,tt0087078,nm0281507
3916,tt0087089,nm0000338
3917,tt0087091,nm0669004
3918,tt0087096,nm0001501
3919,tt0087100,nm0001692
3920,tt0087129,nm0615582
3921,tt0087144,nm0218252
3922,tt0087147,nm0777029
3923,tt0087175,nm0747849
3924,tt0087182,nm0000186
3925,tt0087188,nm0000019
3926,tt0087197,nm0006625
3927,tt0087222,nm0496746
3928,tt0087231,nm0772259
3929,tt0087233,nm0343260
3930,tt0087237,nm0110133
3931,tt0087247,nm0001206
3932,tt0087250,nm0958558
3933,tt0087260,nm0504513
3934,tt0087262,nm0504495
3935,tt0087265,nm0005190
3936,tt0087268,nm0849587
3937,tt0087277,nm0006889
3938,tt0087284,nm0006734
3939,tt0087298,nm0957263
3940,tt0087313,nm0001486
3941,tt0087317,nm0001348
3942,tt0087332,nm0718645
3943,tt0087337,nm0916242
3944,tt0087344,nm0368057
3945,tt0087344,nm0457970
3946,tt0087359,nm0459170
3947,tt0087363,nm0001102
3948,tt0087365,nm0399853
3949,tt0087373,nm0577396
3950,tt0087377,nm0411025
3951,tt0087386,nm0000056
3952,tt0087414,nm0001241
3953,tt0087425,nm0548533
3954,tt0087428,nm0724798
3955,tt0087451,nm0706296
3956,tt0087452,nm0770961
3957,tt0087464,nm0048491
3958,tt0087469,nm0000229
3959,tt0087472,nm0829579
3960,tt0087481,nm0005645
3961,tt0087482,nm0796124
3962,tt0087507,nm0002132
3963,tt0087514,nm0491626
3964,tt0087520,nm0002216
3965,tt0087525,nm0596850
3966,tt0087537,nm0851752
3967,tt0087537,nm0851754
3968,tt0087538,nm0000814
3969,tt0087544,nm0594503
3970,tt0087545,nm0605741
3971,tt0087553,nm0423646
3972,tt0087589,nm0002726
3973,tt0087592,nm0200597
3974,tt0087594,nm0546672
3975,tt0087597,nm0145309
3976,tt0087629,nm0001351
3977,tt0087635,nm0002137
3978,tt0087644,nm0001023
3979,tt0087660,nm0410963
3980,tt0087660,nm0442828
3981,tt0087666,nm0907697
3982,tt0087681,nm0003508
3983,tt0087682,nm0464846
3984,tt0087688,nm0429958
3985,tt0087718,nm0001175
3986,tt0087722,nm0108745
3987,tt0087727,nm0957263
3988,tt0087742,nm0894577
3989,tt0087746,nm0042849
3990,tt0087747,nm0005196
3991,tt0087751,nm0000788
3992,tt0087755,nm0000568
3993,tt0087759,nm0002086
3994,tt0087777,nm0285302
3995,tt0087781,nm0001469
3996,tt0087796,nm0004616
3997,tt0087799,nm0248054
3998,tt0087800,nm0000127
3999,tt0087803,nm0705535
4000,tt0087805,nm0278735
4001,tt0087810,nm0770234
4002,tt0087818,nm0088397
4003,tt0087821,nm0006445
4004,tt0087843,nm0001466
4005,tt0087852,nm0204471
4006,tt0087866,nm0096813
4007,tt0087884,nm0000694
4008,tt0087892,nm0000180
4009,tt0087903,nm0415333
4010,tt0087909,nm0000783
4011,tt0087910,nm0706296
4012,tt0087921,nm0000914
4013,tt0087928,nm0933505
4014,tt0087932,nm0742341
4015,tt0087951,nm0006889
4016,tt0087956,nm0002089
4017,tt0087957,nm0536299
4018,tt0087968,nm0000907
4019,tt0087980,nm0126440
4020,tt0087981,nm0611683
4021,tt0087983,nm0001226
4022,tt0087985,nm0587518
4023,tt0087995,nm0007182
4024,tt0087998,nm0571653
4025,tt0088000,nm0437596
4026,tt0088002,nm0956022
4027,tt0088006,nm0725564
4028,tt0088007,nm0041932
4029,tt0088011,nm0000709
4030,tt0088024,nm0000341
4031,tt0088040,nm0133426
4032,tt0088044,nm0826164
4033,tt0088066,nm0935382
4034,tt0088111,nm0108707
4035,tt0088117,nm0783398
4036,tt0088128,nm0000455
4037,tt0088146,nm0422484
4038,tt0088157,nm0169540
4039,tt0088161,nm0000165
4040,tt0088167,nm0496312
4041,tt0088170,nm0000559
4042,tt0088172,nm0000118
4043,tt0088178,nm0001129
4044,tt0088184,nm0000464
4045,tt0088194,nm0001353
4046,tt0088195,nm0293445
4047,tt0088196,nm0068385
4048,tt0088213,nm0001129
4049,tt0088222,nm0814570
4050,tt0088242,nm0002137
4051,tt0088247,nm0000116
4052,tt0088249,nm0473870
4053,tt0088255,nm0042849
4054,tt0088256,nm0829343
4055,tt0088258,nm0001661
4056,tt0088272,nm0876227
4057,tt0088286,nm0000720
4058,tt0088286,nm0001878
4059,tt0088286,nm0958387
4060,tt0088315,nm0772522
4061,tt0088318,nm0851724
4062,tt0088322,nm0001379
4063,tt0088323,nm0000583
4064,tt0088326,nm0956052
4065,tt0088333,nm0125111
4066,tt0088334,nm0651900
4067,tt0088402,nm0513165
4068,tt0088412,nm0001348
4069,tt0088414,nm0000698
4070,tt0088461,nm0000264
4071,tt0088658,nm0003408
4072,tt0088678,nm0899139
4073,tt0088680,nm0000217
4074,tt0088683,nm0422484
4075,tt0088689,nm0001501
4076,tt0088707,nm0000824
4077,tt0088708,nm0278735
4078,tt0088714,nm0958558
4079,tt0088748,nm0110293
4080,tt0088748,nm0110294
4081,tt0088758,nm0004305
4082,tt0088760,nm0636165
4083,tt0088763,nm0000709
4084,tt0088794,nm0390822
4085,tt0088814,nm0075859
4086,tt0088814,nm0723704
4087,tt0088818,nm0000877
4088,tt0088846,nm0000416
4089,tt0088847,nm0000455
4090,tt0088850,nm0001353
4091,tt0088851,nm0734466
4092,tt0088879,nm0868153
4093,tt0088885,nm0783676
4094,tt0088889,nm0853546
4095,tt0088915,nm0000277
4096,tt0088930,nm0528718
4097,tt0088931,nm0538445
4098,tt0088933,nm0000165
4099,tt0088934,nm0762674
4100,tt0088936,nm0001112
4101,tt0088939,nm0000229
4102,tt0088944,nm0504495
4103,tt0088947,nm0675068
4104,tt0088960,nm0664852
4105,tt0088967,nm0000600
4106,tt0088979,nm0934578
4107,tt0088987,nm0001565
4108,tt0088993,nm0001681
4109,tt0089003,nm0935382
4110,tt0089009,nm0238621
4111,tt0089013,nm0000877
4112,tt0089015,nm0215123
4113,tt0089017,nm0782384
4114,tt0089034,nm0005711
4115,tt0089052,nm0587669
4116,tt0089066,nm0000419
4117,tt0089072,nm0002218
4118,tt0089087,nm0000958
4119,tt0089091,nm0001090
4120,tt0089092,nm0000583
4121,tt0089114,nm0001102
4122,tt0089118,nm0541677
4123,tt0089122,nm0028196
4124,tt0089126,nm0721817
4125,tt0089153,nm0000682
4126,tt0089155,nm0006916
4127,tt0089160,nm0000265
4128,tt0089167,nm0292419
4129,tt0089175,nm0276169
4130,tt0089206,nm0837485
4131,tt0089208,nm0582635
4132,tt0089218,nm0001149
4133,tt0089222,nm0437596
4134,tt0089264,nm0227781
4135,tt0089265,nm0575872
4136,tt0089269,nm0210472
4137,tt0089276,nm0699933
4138,tt0089283,nm0001239
4139,tt0089284,nm0002178
4140,tt0089338,nm0219959
4141,tt0089343,nm0001676
4142,tt0089346,nm0000484
4143,tt0089348,nm0957263
4144,tt0089360,nm0549658
4145,tt0089366,nm0000419
4146,tt0089370,nm0853546
4147,tt0089385,nm0434571
4148,tt0089393,nm0331989
4149,tt0089420,nm0000915
4150,tt0089421,nm0496746
4151,tt0089424,nm0002199
4152,tt0089457,nm0001149
4153,tt0089461,nm0776317
4154,tt0089469,nm0000631
4155,tt0089470,nm0730422
4156,tt0089477,nm0076175
4157,tt0089489,nm0001361
4158,tt0089491,nm0804592
4159,tt0089504,nm0000983
4160,tt0089530,nm0004306
4161,tt0089530,nm0644695
4162,tt0089537,nm0001814
4163,tt0089543,nm0236769
4164,tt0089555,nm0002044
4165,tt0089560,nm0000953
4166,tt0089562,nm0850212
4167,tt0089572,nm0097491
4168,tt0089584,nm0604335
4169,tt0089591,nm0179278
4170,tt0089601,nm0198991
4171,tt0089603,nm0001707
4172,tt0089604,nm0393678
4173,tt0089629,nm0411477
4174,tt0089652,nm0079471
4175,tt0089656,nm0246903
4176,tt0089670,nm0002132
4177,tt0089679,nm0192446
4178,tt0089686,nm0794791
4179,tt0089695,nm0477035
4180,tt0089715,nm0000265
4181,tt0089716,nm0843640
4182,tt0089730,nm0832573
4183,tt0089731,nm0097491
4184,tt0089755,nm0001628
4185,tt0089767,nm0000142
4186,tt0089776,nm0684226
4187,tt0089791,nm0000318
4188,tt0089816,nm0770961
4189,tt0089821,nm0681207
4190,tt0089822,nm0661577
4191,tt0089832,nm0001031
4192,tt0089835,nm0381638
4193,tt0089838,nm0610261
4194,tt0089839,nm0101055
4195,tt0089841,nm0001379
4196,tt0089847,nm0322785
4197,tt0089853,nm0000095
4198,tt0089860,nm0222545
4199,tt0089869,nm0614276
4200,tt0089880,nm0181902
4201,tt0089881,nm0000041
4202,tt0089885,nm0002340
4203,tt0089886,nm0004838
4204,tt0089893,nm0281507
4205,tt0089901,nm0357891
4206,tt0089902,nm0029242
4207,tt0089907,nm0639321
4208,tt0089908,nm0004555
4209,tt0089913,nm0399853
4210,tt0089927,nm0000230
4211,tt0089941,nm0464846
4212,tt0089945,nm0933505
4213,tt0089960,nm0889513
4214,tt0089961,nm0844358
4215,tt0089977,nm0432040
4216,tt0089981,nm0339264
4217,tt0089984,nm0295209
4218,tt0089984,nm0434172
4219,tt0089984,nm0483726
4220,tt0089984,nm0715319
4221,tt0089994,nm0477129
4222,tt0089997,nm0270376
4223,tt0090015,nm0487351
4224,tt0090021,nm0003733
4225,tt0090022,nm0001410
4226,tt0090037,nm0159154
4227,tt0090056,nm0000484
4228,tt0090060,nm0001708
4229,tt0090073,nm0000608
4230,tt0090094,nm0169540
4231,tt0090095,nm0000108
4232,tt0090098,nm0005348
4233,tt0090103,nm0001661
4234,tt0090110,nm0718554
4235,tt0090130,nm0671957
4236,tt0090142,nm0199722
4237,tt0090145,nm0011897
4238,tt0090151,nm0128883
4239,tt0090152,nm0355074
4240,tt0090180,nm0001243
4241,tt0090182,nm0000694
4242,tt0090190,nm0381230
4243,tt0090190,nm0442207
4244,tt0090192,nm0023929
4245,tt0090196,nm0209918
4246,tt0090197,nm0898063
4247,tt0090203,nm0557751
4248,tt0090206,nm0785684
4249,tt0090209,nm0748928
4250,tt0090213,nm0452607
4251,tt0090223,nm0005570
4252,tt0090248,nm0038953
4253,tt0090249,nm0655870
4254,tt0090250,nm0305557
4255,tt0090251,nm0330028
4256,tt0090264,nm0322515
4257,tt0090270,nm0000887
4258,tt0090274,nm0583292
4259,tt0090293,nm0059493
4260,tt0090297,nm0166074
4261,tt0090305,nm0000455
4262,tt0090310,nm0002376
4263,tt0090315,nm0613471
4264,tt0090319,nm0000431
4265,tt0090322,nm10304264
4266,tt0090327,nm0855107
4267,tt0090329,nm0001837
4268,tt0090350,nm0001047
4269,tt0090357,nm0001469
4270,tt0090366,nm0000425
4271,tt0090377,nm0000727
4272,tt0090555,nm0265363
4273,tt0090556,nm0601963
4274,tt0090557,nm0851724
4275,tt0090563,nm0000894
4276,tt0090565,nm0006445
4277,tt0090567,nm0001239
4278,tt0090568,nm0000797
4279,tt0090570,nm0427880
4280,tt0090583,nm0001880
4281,tt0090585,nm0854697
4282,tt0090601,nm0179278
4283,tt0090605,nm0000116
4284,tt0090633,nm0089940
4285,tt0090636,nm0767022
4286,tt0090644,nm0000940
4287,tt0090655,nm0910510
4288,tt0090660,nm0504495
4289,tt0090667,nm0887351
4290,tt0090670,nm0001226
4291,tt0090678,nm0278735
4292,tt0090679,nm0874096
4293,tt0090685,nm0582635
4294,tt0090693,nm0001274
4295,tt0090713,nm0006854
4296,tt0090728,nm0000118
4297,tt0090729,nm0396421
4298,tt0090735,nm0170113
4299,tt0090738,nm0706182
4300,tt0090756,nm0000186
4301,tt0090768,nm0145309
4302,tt0090769,nm0418986
4303,tt0090770,nm0790715
4304,tt0090799,nm0774927
4305,tt0090830,nm0354279
4306,tt0090837,nm0691061
4307,tt0090848,nm0152469
4308,tt0090849,nm0354286
4309,tt0090849,nm0442207
4310,tt0090852,nm0602454
4311,tt0090856,nm0000601
4312,tt0090859,nm0181902
4313,tt0090863,nm0000217
4314,tt0090866,nm0320546
4315,tt0090881,nm0227187
4316,tt0090886,nm0000915
4317,tt0090887,nm0378893
4318,tt0090888,nm0001353
4319,tt0090903,nm0002086
4320,tt0090904,nm0089502
4321,tt0090915,nm0872062
4322,tt0090917,nm0000127
4323,tt0090927,nm0324875
4324,tt0090930,nm0000877
4325,tt0090944,nm0069166
4326,tt0090948,nm0145376
4327,tt0090966,nm0005196
4328,tt0090967,nm0000464
4329,tt0090985,nm0000780
4330,tt0091024,nm0950001
4331,tt0091027,nm0764781
4332,tt0091042,nm0000455
4333,tt0091053,nm0316496
4334,tt0091055,nm0496746
4335,tt0091059,nm0459170
4336,tt0091064,nm0000343
4337,tt0091069,nm0629774
4338,tt0091080,nm0572951
4339,tt0091083,nm0002340
4340,tt0091093,nm0891554
4341,tt0091113,nm0000019
4342,tt0091129,nm0006916
4343,tt0091142,nm0001692
4344,tt0091149,nm0166256
4345,tt0091149,nm0560329
4346,tt0091149,nm0585150
4347,tt0091149,nm0615780
4348,tt0091159,nm0000165
4349,tt0091164,nm0841456
4350,tt0091166,nm0553941
4351,tt0091167,nm0000095
4352,tt0091178,nm0000698
4353,tt0091183,nm0277946
4354,tt0091187,nm0000142
4355,tt0091188,nm0001566
4356,tt0091192,nm0343630
4357,tt0091203,nm0611683
4358,tt0091209,nm0363553
4359,tt0091214,nm0836949
4360,tt0091217,nm0000770
4361,tt0091223,nm0591171
4362,tt0091270,nm0001031
4363,tt0091276,nm0001361
4364,tt0091278,nm0002089
4365,tt0091288,nm0001945
4366,tt0091306,nm0001508
4367,tt0091326,nm0000814
4368,tt0091338,nm0296651
4369,tt0091343,nm0139461
4370,tt0091343,nm0643539
4371,tt0091369,nm0001345
4372,tt0091396,nm0718645
4373,tt0091400,nm0742341
4374,tt0091400,nm0000647
4375,tt0091410,nm0029242
4376,tt0091415,nm0002207
4377,tt0091419,nm0000568
4378,tt0091445,nm0783544
4379,tt0091472,nm0108613
4380,tt0091474,nm0000520
4381,tt0091480,nm0001945
4382,tt0091495,nm0000264
4383,tt0091497,nm0136021
4384,tt0091498,nm0651915
4385,tt0091499,nm0000175
4386,tt0091507,nm0720297
4387,tt0091530,nm0423646
4388,tt0091537,nm0769421
4389,tt0091538,nm0001403
4390,tt0091541,nm0000907
4391,tt0091554,nm0001486
4392,tt0091557,nm0001837
4393,tt0091575,nm0496746
4394,tt0091578,nm0001241
4395,tt0091584,nm0423589
4396,tt0091603,nm6497799
4397,tt0091605,nm0000269
4398,tt0091630,nm0215269
4399,tt0091635,nm0001490
4400,tt0091637,nm0669004
4401,tt0091647,nm0001532
4402,tt0091651,nm0131840
4403,tt0091653,nm0005190
4404,tt0091668,nm0227781
4405,tt0091671,nm0123009
4406,tt0091680,nm0390822
4407,tt0091706,nm0876227
4408,tt0091707,nm0197889
4409,tt0091725,nm0792795
4410,tt0091738,nm0000338
4411,tt0091757,nm0000591
4412,tt0091763,nm0000231
4413,tt0091777,nm0661577
4414,tt0091778,nm0001270
4415,tt0091786,nm0001486
4416,tt0091790,nm0222043
4417,tt0091799,nm0000578
4418,tt0091810,nm0872062
4419,tt0091818,nm0089502
4420,tt0091828,nm0410139
4421,tt0091829,nm0667767
4422,tt0091830,nm0006445
4423,tt0091834,nm0937074
4424,tt0091836,nm0221265
4425,tt0091859,nm0164639
4426,tt0091860,nm0006853
4427,tt0091867,nm0412465
4428,tt0091869,nm0903137
4429,tt0091875,nm0001382
4430,tt0091877,nm0000720
4431,tt0091877,nm0001878
4432,tt0091877,nm0958387
4433,tt0091886,nm0000231
4434,tt0091920,nm0177034
4435,tt0091939,nm0000490
4436,tt0091949,nm0000824
4437,tt0091954,nm0007182
4438,tt0091969,nm0240870
4439,tt0091969,nm0264348
4440,tt0091969,nm0514478
4441,tt0091982,nm0220227
4442,tt0091983,nm0001129
4443,tt0091991,nm0591171
4444,tt0091993,nm0934863
4445,tt0092005,nm0001661
4446,tt0092007,nm0000559
4447,tt0092035,nm0000257
4448,tt0092042,nm0241174
4449,tt0092048,nm0411631
4450,tt0092067,nm0594503
4451,tt0092068,nm0088397
4452,tt0092076,nm0001361
4453,tt0092085,nm0200597
4454,tt0092086,nm0000484
4455,tt0092090,nm0146760
4456,tt0092099,nm0001716
4457,tt0092104,nm0541677
4458,tt0092105,nm0437596
4459,tt0092106,nm0793802
4460,tt0092112,nm0001747
4461,tt0092133,nm0002239
4462,tt0092147,nm0921013
4463,tt0092173,nm0279926
4464,tt0092206,nm0486748
4465,tt0092214,nm0006916
4466,tt0092225,nm0000389
4467,tt0092226,nm0000361
4468,tt0092240,nm0555549
4469,tt0092272,nm0548533
4470,tt0092288,nm0557789
4471,tt0092298,nm0082677
4472,tt0092493,nm0180257
4473,tt0092494,nm0730422
4474,tt0092513,nm0001060
4475,tt0092516,nm0002086
4476,tt0092545,nm0001565
4477,tt0092546,nm0001102
4478,tt0092546,nm0331956
4479,tt0092546,nm0005022
4480,tt0092546,nm0000484
4481,tt0092548,nm0278735
4482,tt0092550,nm0006445
4483,tt0092563,nm0000570
4484,tt0092576,nm0811714
4485,tt0092585,nm0402597
4486,tt0092593,nm0001501
4487,tt0092605,nm0796124
4488,tt0092608,nm0387605
4489,tt0092610,nm0001392
4490,tt0092615,nm0219959
4491,tt0092618,nm0775447
4492,tt0092627,nm0000436
4493,tt0092632,nm0772259
4494,tt0092637,nm0000425
4495,tt0092638,nm0131995
4496,tt0092641,nm0283500
4497,tt0092644,nm0001716
4498,tt0092654,nm0564319
4499,tt0092656,nm0093322
4500,tt0092666,nm0001175
4501,tt0092669,nm0465034
4502,tt0092675,nm0036582
4503,tt0092690,nm0001507
4504,tt0092693,nm0191109
4505,tt0092695,nm0715916
4506,tt0092699,nm0000985
4507,tt0092710,nm0933505
4508,tt0092718,nm0711114
4509,tt0092723,nm0415422
4510,tt0092732,nm0001676
4511,tt0092746,nm0208923
4512,tt0092751,nm0001206
4513,tt0092752,nm0439739
4514,tt0092783,nm0364805
4515,tt0092796,nm0331193
4516,tt0092797,nm0001031
4517,tt0092798,nm0000776
4518,tt0092800,nm0742940
4519,tt0092802,nm0077000
4520,tt0092804,nm0000277
4521,tt0092809,nm0001418
4522,tt0092830,nm0629774
4523,tt0092834,nm0572951
4524,tt0092842,nm0671957
4525,tt0092843,nm0001379
4526,tt0092848,nm0697935
4527,tt0092857,nm0496746
4528,tt0092860,nm0691061
4529,tt0092865,nm0219959
4530,tt0092890,nm0001915
4531,tt0092906,nm0002340
4532,tt0092922,nm0089502
4533,tt0092925,nm0542539
4534,tt0092929,nm0000425
4535,tt0092934,nm0464846
4536,tt0092948,nm0870186
4537,tt0092963,nm0361672
4538,tt0092965,nm0000229
4539,tt0092969,nm0543596
4540,tt0092974,nm0156047
4541,tt0092991,nm0000600
4542,tt0092995,nm0591308
4543,tt0092997,nm0001353
4544,tt0093004,nm0778633
4545,tt0093006,nm0000382
4546,tt0093010,nm0001490
4547,tt0093011,nm0276169
4548,tt0093029,nm0082300
4549,tt0093036,nm0089177
4550,tt0093043,nm0000877
4551,tt0093044,nm0533334
4552,tt0093051,nm0163706
4553,tt0093058,nm0000040
4554,tt0093073,nm0000338
4555,tt0093075,nm0847749
4556,tt0093093,nm0000056
4557,tt0093104,nm0851752
4558,tt0093104,nm0851754
4559,tt0093105,nm0001469
4560,tt0093111,nm0399464
4561,tt0093113,nm0743962
4562,tt0093132,nm0477771
4563,tt0093137,nm0410139
4564,tt0093143,nm0156417
4565,tt0093144,nm0847796
4566,tt0093146,nm0796477
4567,tt0093148,nm0213100
4568,tt0093164,nm0724059
4569,tt0093171,nm0413459
4570,tt0093171,nm0457970
4571,tt0093175,nm0675068
4572,tt0093176,nm0685923
4573,tt0093177,nm0000850
4574,tt0093185,nm0794791
4575,tt0093191,nm0000694
4576,tt0093200,nm0870186
4577,tt0093207,nm0945293
4578,tt0093209,nm0000958
4579,tt0093215,nm0513974
4580,tt0093220,nm0928832
4581,tt0093223,nm0000519
4582,tt0093225,nm0287025
4583,tt0093235,nm0613833
4584,tt0093239,nm0005390
4585,tt0093253,nm0004675
4586,tt0093260,nm0001102
4587,tt0093267,nm0000019
4588,tt0093277,nm0002199
4589,tt0093295,nm0889513
4590,tt0093336,nm0333705
4591,tt0093347,nm0004488
4592,tt0093349,nm0000419
4593,tt0093371,nm0889513
4594,tt0093378,nm0883609
4595,tt0093389,nm0000934
4596,tt0093393,nm0418746
4597,tt0093407,nm0437709
4598,tt0093409,nm0001149
