,Unnamed: 0,tconst,id,originalTitle,titreVF,original_language,production_countries,keywords,genres,anneeSortie,release_date,duree,budget,revenue,popularity,noteMoyenne,nbVotes
400,1576,tt0056910,86764,La carrière de Suzanne,La carrière de Suzanne,fr,France,friends,"Drame,Romance",1963,1963-02-01,54,0.0,0.0,5.229,6.8,4406
401,1581,tt0056917,34059,Cent mille dollars au soleil,Cent mille dollars au soleil,fr,"France, Italy",,"Action,Aventure,Comédie",1964,1964-04-17,122,0.0,0.0,5.551,7.0,2863
419,1651,tt0057051,57144,Faites sauter la banque!,Faites sauter la banque!,fr,France,"gold, bank, gag, parents, tunnel","Comédie,Crime",1964,1964-02-25,88,0.0,0.0,8.078,6.7,2730
420,1654,tt0057058,2593,Le feu follet,Le feu follet,fr,France,"paris, france, melancholy, alcoholism, loneliness",Drame,1963,1963-10-15,108,0.0,0.0,10.864,7.8,10954
436,1706,tt0057176,121737,L'immortelle,L'immortelle,fr,"France, Italy, Turkey","istanbul, turkey, disparition","Drame,Mystère",1963,1963-03-27,101,0.0,0.0,3.768,7.2,1464
443,1720,tt0057207,56800,Judex,Judex,fr,"France, Italy",,"Action,Crime,Drame,Thriller",1963,1963-12-04,98,0.0,0.0,6.494,7.0,3023
465,1791,tt0057336,54563,Muriel ou le temps d'un retour,Muriel ou le temps d'un retour,fr,"Italy, France","widow, mother son relationship, boulogne, french new wave, nouvelle vague",Drame,1963,1963-10-01,115,0.0,0.0,6.808,7.0,3898
466,1795,tt0057344,22650,Mélodie en sous-sol,Mélodie en sous-sol,fr,"France, Italy","casino, thief","Crime,Drame,Romance",1963,1963-03-19,118,0.0,0.0,8.097,7.3,4777
467,1796,tt0057345,266,Le mépris,Le mépris,fr,"France, Italy","jealousy, based on novel or book, villa, love triangle, italy, movie business, capri, screenwriter, car crash, divorce","Drame,Romance",1963,1963-10-29,102,900000.0,528428.0,28.027,7.4,37153
477,1831,tt0057422,36324,Pouic-Pouic,Pouic-Pouic,fr,France,"birthday, bourgeoisie, scam, 1960s, investment, admirer, present, cock",Comédie,1963,1963-11-20,86,0.0,0.0,9.894,6.5,2166
505,1918,tt0057591,25253,Les tontons flingueurs,Le terminus des prétentieux,fr,"France, Germany, Italy","prostitute, paris, france, based on novel or book, bomb, hitman, slang, alcohol, gangster, debt, orphan, criminal underworld, wedding ceremony, gambling house, punch in face, distillery, pupil, french polar, hooch","Action,Comédie,Crime",1963,1963-11-27,105,0.0,0.0,10.074,7.7,6811
529,2000,tt0057842,66956,Les amitiés particulières,Les amitiés particulières,fr,France,"based on novel or book, male homosexuality, attraction, lgbt, boys' school, jesuits (society of jesus), same sex attraction, gay theme","Drame,Romance",1964,1964-09-04,99,0.0,0.0,8.706,7.7,3148
530,2002,tt0057846,44450,"Angélique, marquise des anges","Angélique, marquise des anges",fr,"France, Italy, Germany","france, 17th century","Aventure,Drame,Histoire,Romance",1964,1964-12-08,115,0.0,0.0,12.437,6.7,3125
532,2011,tt0057869,8073,Bande à part,Bande à part,fr,France,"robbery, paris, france, love triangle, louvre museum, woman between two men, bastille, nouvelle vague","Comédie,Crime,Drame,Romance",1964,1964-08-05,95,120000.0,182857.0,10.626,7.6,27812
533,2012,tt0057870,31270,Les Barbouzes,Les Barbouzes,fr,"France, Italy","espionage, widow, castle, spoof, secret service","Action,Comédie,Mystère,Thriller",1964,1964-12-10,84,0.0,0.0,6.829,6.8,2068
549,2053,tt0057967,25866,Le corniaud,Le Corniaud,fr,"Spain, France, Italy","france, paris, france, drug smuggling, diamond, italy, gangster, border, cadillac, naples, italy, vacation, car crash, bordeaux, france, road trip, fool, horn, hitchhiker, manicurist, jewel smuggling, carcassonne","Aventure,Comédie,Crime",1965,1965-03-24,111,678948.0,0.0,11.899,7.3,8403
561,2098,tt0058089,1871,Fantômas,Fantômas,fr,"France, Italy","mask, newspaper, press conference, police operation, thief, fugitive, disguise","Aventure,Comédie,Crime",1964,1964-11-04,104,0.0,0.0,11.096,6.9,12718
565,2116,tt0058123,38421,Les félins,Ni saints ni saufs,fr,France,french riviera,"Crime,Drame,Romance,Thriller",1964,1964-06-12,97,0.0,0.0,6.828,7.0,3217
566,2124,tt0058135,4727,Le gendarme de Saint-Tropez,Le Gendarme de Saint-Tropez,fr,France,"nun, lie, rembrandt, gendarmerie, saint-tropez, france, french riviera, misunderstanding, stolen painting, nudist, transfer, father daughter relationship, naturism, alpes","Comédie,Crime",1964,1964-09-08,90,0.0,0.0,11.581,7.1,14429
576,2165,tt0058203,4034,L'homme de Rio,L'homme de Rio,fr,"France, Italy","kidnapping, spy, treasure hunt, artifact, ancient","Action,Aventure,Comédie",1964,1964-02-05,112,0.0,0.0,12.581,7.0,6598
580,2177,tt0058232,137859,L'insoumis,L'insoumis,fr,"France, Italy","kidnapping, hostage, homecoming soldier","Drame,Thriller",1964,1964-09-25,115,0.0,0.0,2.759,7.0,1109
582,2186,tt0058249,36245,Le journal d'une femme de chambre,Le journal d'une femme de chambre,fr,"France, Italy","pedophilia, rape, paris, france, sadism, frigidity, marriage, fascist, murder, racism, class differences, chambermaid","Crime,Drame",1964,1964-03-04,97,0.0,17754.0,8.515,7.4,10026
599,2236,tt0058343,44453,Merveilleuse Angélique,Merveilleuse Angélique,fr,"France, Italy, Germany","sequel, 17th century","Aventure,Histoire,Mystère,Romance",1965,1965-07-07,105,0.0,0.0,9.241,6.6,1858
618,2292,tt0058450,5967,Les parapluies de Cherbourg,Les parapluies de Cherbourg,fr,"France, Germany","car mechanic, letter, normandy, france, musical, single, umbrella, 1950s, 1960s, cherbourg, france","Comédiemusicale,Drame,Romance",1964,1964-02-19,91,7.0,0.0,15.686,7.8,32835
621,2296,tt0058458,1719,La peau douce,La peau douce,fr,France,"double life, airplane, airport, paris, france, love at first sight, stewardess, lisbon, portugal, reims, break-up, divorce","Drame,Romance",1964,1964-04-20,113,0.0,0.0,11.28,7.5,8691
648,2402,tt0058692,12539,La Tulipe noire,La Tulipe noire,fr,"Spain, France, Italy","mask, sword, robber, fencing, beautiful woman, twins, nobility","Action,Aventure,Comédie",1964,1964-02-28,115,0.0,0.0,12.638,6.6,2970
651,2408,tt0058701,40652,Une femme mariée: Suite de fragments d'un film tourné en 1964,Une femme mariée,fr,France,"sandstorm, married","Drame,Romance",1964,1964-12-04,94,120000.0,0.0,9.496,7.1,4533
657,2429,tt0058740,75525,Week-end à Zuydcoote,Week-end à Zuydcoote,fr,"France, Italy","world war ii, dunkirk, evacution, french army, whirlwind romance","Drame,Guerre",1964,1964-12-18,119,0.0,0.0,10.376,6.9,2001
665,2457,tt0058863,31344,La 317ème section,La 317ème section,fr,"France, Spain","vietnam war, vietnam, vietcong, indochina","Drame,Guerre,Histoire",1965,1965-03-31,100,66000.0,306505.0,5.913,7.3,1734
668,2472,tt0058898,8072,Alphaville : Une étrange aventure de Lemmy Caution,"Alphaville, une étrange aventure de Lemmy Caution",fr,"Italy, France","photography, dystopia, surrealism, film noir, lemmy caution, private detective, french noir, distant  planet","Comédie,Drame,Mystère,Science-Fiction",1965,1965-05-05,99,220000.0,0.0,12.193,7.0,28775
669,2478,tt0058909,22183,Angélique et le roy,Angélique et le roy,fr,"France, Italy, Germany","17th century, louis xiv","Aventure,Histoire,Romance",1966,1966-01-31,100,0.0,0.0,14.275,6.6,1881
678,2505,tt0058985,53023,Le bonheur,Le bonheur,fr,France,"infidelity, extramarital affair, woman director, french countryside","Drame,Romance",1965,1965-02-10,80,0.0,0.0,9.042,7.6,10303
687,2535,tt0059050,4311,Compartiment tueurs,Compartiment tueurs,fr,France,"investigation, strangle, murder, train, killer, witness to murder","Crime,Drame,Mystère",1965,1965-11-17,95,0.0,0.0,6.357,7.2,2369
707,2589,tt0059168,1870,Fantômas se déchaîne,Fantômas contre Interpol,fr,"France, Italy","mask, flying car, asylum, gadget, masked ball, volcano, hypnosis, police operation, press, sequel, fugitive, scientist, criminal, parachute jumping","Aventure,Comédie,Crime,Fantastique",1965,1965-12-08,98,0.0,0.0,11.042,6.8,8677
715,2614,tt0059241,74767,Les grandes gueules,Les grandes gueules,fr,"France, Italy",,"Action,Aventure,Comédie,Crime,Drame",1965,1965-10-22,128,0.0,0.0,6.927,6.9,1173
749,2736,tt0059499,33360,Ne nous fâchons pas,Ne nous fâchons pas,fr,France,,"Comédie,Crime",1966,1966-04-20,100,0.0,0.0,7.259,6.6,1478
755,2764,tt0059565,51808,Paris vu par...,Paris vu par...,fr,France,,"Comédie,Drame",1965,1965-05-19,95,0.0,0.0,3.073,6.7,1469
