,Unnamed: 0,tconst,id,originalTitle,titreVF,original_language,production_countries,keywords,genres,anneeSortie,release_date,duree,budget,revenue,popularity,noteMoyenne,nbVotes
20640,9140,tt0075690,340904,L'apprenti salaud,L'apprenti salaud,fr,France,,"Comédie,Crime",1977,1977-02-12,98,0.0,0.0,1.688,6.1,222
20641,9141,tt0075691,66951,Les apprentis sorciers,Les apprentis sorciers,fr,"France, Germany",,Drame,1977,1977-09-28,91,0.0,0.0,1.303,5.9,60
20642,9156,tt0075739,444081,On peut le dire sans se fâcher,La belle emmerdeuse,fr,"France, Italy",suicide,Comédie,1978,1978-01-11,91,0.0,0.0,0.6,5.4,19
20643,9164,tt0075749,393685,La Bible,La Bible,fr,,,"Documentaire,Histoire",1977,1977-04-18,90,0.0,0.0,0.6,5.7,45
20644,9191,tt0075799,64133,Le camion,Le camion,fr,France,woman director,"Drame,Romance",1977,1977-05-27,76,0.0,0.0,2.953,6.5,476
20645,9218,tt0075885,86727,Le Crabe-Tambour,Le Crabe-Tambour,fr,France,,"Aventure,Drame,Guerre",1977,1977-11-09,120,0.0,0.0,3.544,7.0,968
20646,9236,tt0075933,2060,Des enfants gâtés,Des enfants gâtés,fr,France,"lovesickness, paris, france, age difference, skyscraper, empowerment, movie business, 1970s, sexual revolution, citizens' action committee, laundromat, renter, teacher, extramarital affair",Drame,1977,1977-09-06,113,0.0,0.0,2.563,6.4,377
20647,9246,tt0075946,4162,Dites-lui que je l'aime,Dites-lui que je l'aime,fr,France,"jealousy, love of one's life, insanity, castle, renovation","Drame,Mystère,Romance,Thriller",1977,1977-09-28,107,0.0,0.0,2.228,6.6,719
20648,9302,tt0076065,146886,Le gang,Le Gang,fr,"France, Italy",,"Crime,Drame",1977,1977-01-19,100,0.0,0.0,3.157,5.7,788
20649,9310,tt0076097,54194,"Koko, le gorille qui parle","Koko, le gorille qui parle",fr,France,"gorilla, zoo, sign languages, communication",Documentaire,1978,1978-10-11,85,0.0,0.0,1.897,7.2,966
20650,9347,tt0076179,65709,L'imprécateur,L'imprécateur,fr,"France, Switzerland",,"Comédie,Drame",1977,1977-09-07,102,0.0,0.0,1.532,6.3,117
20651,9362,tt0076242,74822,Le juge Fayard dit Le Shériff,Le juge Fayard dit Le Shériff,fr,France,,"Crime,Drame",1977,1977-01-12,112,0.0,0.0,2.94,7.2,873
20652,9366,tt0076246,365551,Julie pot-de-colle,De quoi je me mêle,fr,France,,Comédie,1977,1977-04-20,90,0.0,0.0,0.71,5.4,161
20653,9398,tt0076343,328175,La machine,En route vers la mort,fr,France,,"Crime,Drame",1977,1977-09-17,100,0.0,0.0,1.327,7.2,79
20654,9409,tt0076384,76519,La menace,La menace,fr,France,,"Action,Crime,Drame,Thriller",1977,1977-09-28,117,0.0,0.0,9.495,6.6,944
20655,9418,tt0076401,293650,"Moi, Fleur bleue","Moi, Fleur bleue",fr,France,coming of age,"Comédie,Drame,Romance",1977,1977-10-26,100,0.0,0.0,2.106,5.0,220
20656,9419,tt0076406,355333,Monsieur Papa,Monsieur Papa,fr,France,,Comédie,1977,1977-08-23,105,0.0,0.0,1.439,5.5,75
20657,9436,tt0076473,12272,Nuit d'or,La mort à paris,fr,"Germany, France","repayment, family secrets","Crime,Drame,Horreur,Thriller",1977,1976-10-01,78,0.0,0.0,1.649,5.1,162
20658,9440,tt0076474,65536,"La nuit, tous les chats sont gris","La nuit, tous les chats sont gris",fr,France,,"Comédie,Drame,Fantastique",1977,1977-11-23,104,0.0,0.0,2.316,5.4,51
20659,9453,tt0076523,565790,Paradiso,Paradiso,fr,,,"Drame,Romance",1977,1977-11-30,84,0.0,0.0,0.6,6.9,11
20660,9455,tt0076526,359663,La part du feu,La part du feu,fr,France,,"Drame,Thriller",1978,1978-01-04,105,0.0,0.0,1.333,5.7,180
20661,9462,tt0076549,267711,"Plus ça va, moins ça va","Plus ça va, moins ça va",fr,"France, Spain",,"Crime,Drame,Romance",1977,1977-08-16,100,0.0,0.0,1.926,5.8,82
20662,9475,tt0076595,306454,La raison d'État,La raison d'état,fr,France,,"Drame,Thriller",1978,1978-04-26,95,0.0,0.0,1.855,6.4,183
20663,9479,tt0076617,257676,Repérages,Repérages,fr,"Switzerland, France",,Drame,1977,1977-11-16,90,0.0,0.0,0.784,5.9,85
20664,9487,tt0076624,444126,Le Ricain,Le Ricain,fr,"Turkey, France",,"Action,Crime,Drame",1975,1975-07-10,95,0.0,0.0,0.919,5.4,117
20665,9498,tt0076652,288165,Safrana ou le droit à la parole,Safrana ou le droit à la parole,fr,"Mauritania, France",,Drame,1978,1978-02-08,110,0.0,0.0,0.6,7.0,12
20666,9530,tt0076733,311267,Sois belle et tais-toi!,Sois belle et tais-toi,fr,France,woman director,Documentaire,1981,1981-03-04,115,0.0,0.0,3.116,7.0,308
20667,9582,tt0076849,74871,Un moment d'égarement,Un moment d'égarement,fr,France,"beach, parent child relationship, extramarital affair","Comédie,Drame,Romance",1977,1977-12-21,81,0.0,0.0,6.02,6.4,729
20668,9584,tt0076851,88309,Un taxi mauve,Un taxi mauve,fr,"France, Ireland, Italy",,Drame,1977,1977-05-25,107,0.0,0.0,3.446,6.5,678
20669,9589,tt0076856,565095,"Une femme, un jour...","Une femme, un jour...",fr,,,Drame,1977,1977-02-02,79,0.0,0.0,0.6,6.3,26
20670,9590,tt0076857,117488,Une sale histoire,Une sale histoire,fr,France,,"Comédie,Documentaire,Drame",1977,1977-11-09,50,0.0,0.0,2.898,7.2,477
20671,9591,tt0076867,289780,"Va voir maman, papa travaille","Va voir maman, papa travaille",fr,France,,"Comédie,Romance",1978,1978-03-15,95,0.0,0.0,1.597,5.8,104
20672,9599,tt0076886,357864,Violanta,Violanta,fr,Switzerland,,"Drame,Fantastique,Mystère",1977,1978-02-22,95,0.0,0.0,0.772,6.4,87
20673,9602,tt0076894,65898,La vocation suspendue,La vocation suspendue,fr,France,,Drame,1978,1978-07-27,90,0.0,0.0,0.884,6.6,175
20674,9605,tt0076897,59959,Vous n'aurez pas l'Alsace et la Lorraine,Vous n'aurez pas l'Alsace et la Lorraine,fr,"France, Belgium","infidelity, france, queen, parody, flanders, tax collector, knight, musketeer, middle ages (476-1453), jester, peasants vs. royalty, conspirators",Comédie,1977,1977-10-19,92,0.0,0.0,4.933,5.1,521
20675,9623,tt0076960,423433,À chacun son enfer,Autopsie d'un monstre,fr,"France, Germany","murder, abduction","Drame,Mystère,Thriller",1977,1977-02-02,105,0.0,0.0,0.667,7.1,259
20676,9632,tt0077123,226674,L'adolescente,L'adolescente,fr,"Germany, France","coming of age, first love, woman director",Drame,1979,1979-01-24,90,0.0,0.0,1.58,6.2,405
20677,9633,tt0077124,341439,L'adoption,L'adoption,fr,France,,"Drame,Thriller",1979,1979-01-10,92,0.0,0.0,0.84,5.6,90
20678,9639,tt0077155,320914,L'amant de poche,L'amant de poche,fr,France,,"Comédie,Romance",1978,1978-02-15,95,0.0,0.0,0.826,5.6,211
20679,9641,tt0077161,442270,L'amour en question,L'amour en question,fr,France,,"Crime,Drame,Mystère,Thriller",1978,1978-10-18,95,0.0,0.0,0.83,6.0,133
20680,9642,tt0077175,78376,L'argent des autres,L'argent des autres,fr,France,based on novel or book,Drame,1978,1978-09-27,105,0.0,0.0,2.618,6.9,570
20681,9644,tt0077184,133502,"Attention, les enfants regardent","Attention, les enfants regardent",fr,France,"based on novel or book, mischievous children","Drame,Thriller",1978,1978-04-12,103,0.0,0.0,1.649,6.5,533
20682,9654,tt0077211,4682,La barricade du Point du Jour,La barricade du Point du Jour,fr,France,"french revolution, barricade","Drame,Histoire",1978,1978-11-12,110,0.0,0.0,0.6,5.9,27
20683,9671,tt0077242,162495,Le bleu des origines,Le bleu des origines,fr,France,,Drame,1979,1979-02-21,52,0.0,0.0,0.706,7.0,103
20684,9680,tt0077251,79770,Blue jeans,Blue jeans - Du beurre aux Allemands,fr,"France, Portugal","coming of age, young love","Drame,Famille,Romance",1977,1977-02-12,80,0.0,0.0,1.652,6.3,132
20685,9701,tt0077308,57572,Le cavaleur,Le cavaleur,fr,France,,Comédie,1979,1979-01-17,104,0.0,0.0,3.523,6.2,443
20686,9706,tt0077317,157403,La chanson de Roland,La Chanson de Roland,fr,France,8th century,"Aventure,Drame,Histoire,Mystère",1978,1978-10-04,110,0.0,0.0,1.07,5.4,180
20687,9711,tt0077324,70867,Les chiens,Les chiens,fr,France,,"Drame,Horreur,Thriller",1979,1979-03-07,100,0.0,0.0,3.995,6.4,688
20688,9714,tt0077334,198525,Ce cher Victor,Ce cher Victor,fr,France,,"Comédie,Drame",1975,1975-06-06,102,0.0,0.0,1.068,6.5,89
20689,9717,tt0077348,80329,La clé sur la porte,La clé sur la porte,fr,France,family drama,"Comédie,Drame",1978,1978-12-13,98,0.0,0.0,1.245,6.1,146
20690,9724,tt0077364,240746,Confidences pour confidences,Confidences pour confidences,fr,,,"Comédie,Drame",1979,1979-01-03,110,0.0,0.0,0.945,6.6,153
20691,9726,tt0077371,131479,Corps à coeur,Corps à coeur,fr,France,,"Drame,Romance",1979,1979-07-04,126,0.0,0.0,0.973,7.3,221
20692,9787,tt0077542,63156,La femme qui pleure,La femme qui pleure,fr,France,,Drame,1979,1979-01-10,90,0.0,0.0,1.372,6.5,182
20693,9839,tt0077709,50216,Les héros n'ont pas froid aux oreilles,Les héros n'ont pas froid aux oreilles,fr,France,,"Comédie,Drame",1978,1979-01-17,83,0.0,0.0,2.414,5.0,270
20694,9840,tt0077710,82175,L'hôtel de la plage,L'Hôtel de la plage,fr,France,,"Comédie,Romance",1978,1978-01-11,110,0.0,0.0,4.568,6.0,385
20695,9876,tt0077779,265583,Judith Therpauve,Judith Therpauve,fr,France,,Drame,1978,1978-10-06,125,0.0,0.0,1.268,6.3,187
20696,9905,tt0077893,533804,Mais où et donc Ornicar,Mais où et donc Ornicar,fr,,,Drame,1979,1979-02-28,110,0.0,0.0,1.135,5.7,57
20697,9910,tt0077915,4208,Martin et Léa,Martin et Léa,fr,France,"lover (female), ex-lover, man woman relationship, one-night stand",Drame,1979,1979-01-31,90,0.0,0.0,0.905,6.5,70
20698,9922,tt0077941,66949,Molière,"Molière, ou la vie d'un honnête homme",fr,"France, Italy","france, biography, woman director, 17th century","Biographie,Drame,Histoire",1978,1978-08-30,260,0.0,0.0,1.904,7.6,912
20699,9925,tt0077943,265578,Mon premier amour,Mon premier amour,fr,,,"Drame,Romance",1978,1978-08-30,100,0.0,0.0,0.744,5.8,75
20700,9939,tt0077979,251350,Néa,Néa,fr,France,woman director,"Drame,Romance",1976,1976-08-17,103,0.0,0.0,1.858,5.7,370
20701,9955,tt0078038,277202,L'ordre et la sécurité du monde,L'ordre et la sécurité du monde,fr,"United States of America, France",,"Drame,Thriller",1978,1978-08-30,105,0.0,0.0,1.994,5.5,113
20702,9968,tt0078079,279100,La petite fille en velours bleu,La petite fille en velours bleu,fr,France,older man younger woman relationship,"Drame,Guerre,Romance",1978,1978-08-23,108,0.0,0.0,3.141,5.7,102
20703,9969,tt0078080,151794,Les petites fugues,Les petites fugues,fr,"France, Switzerland",,"Comédie,Drame",1979,1979-01-26,140,0.0,0.0,0.687,7.3,433
20704,9971,tt0078086,2376,Le pion,Le pion,fr,France,"based on novel or book, piano lessons, fake identity, substitute teacher, writer, falling in love, school life","Comédie,Drame,Famille,Romance",1978,1978-10-25,88,0.0,0.0,2.808,5.4,384
20705,9997,tt0078170,327103,Les routes du sud,Les routes du sud,fr,"France, Spain","spain, paris, france, communist, 1970s, franco regime (francoism), older man younger woman relationship, northern france, anti-fascism, father son relationship, post spanish civil war, exiled spanish republican",Drame,1978,1978-04-28,100,0.0,0.0,0.859,5.5,271
20706,9998,tt0078171,265582,Robert et Robert,Robert et Robert,fr,France,,"Comédie,Drame",1978,1978-06-13,105,0.0,0.0,1.589,6.5,395
20707,10006,tt0078197,265585,Sale rêveur,Sale rêveur,fr,France,peter pan syndrome,"Comédie,Drame",1978,1978-04-04,85,0.0,0.0,1.09,5.1,41
20708,10055,tt0078338,63577,Le sucre,Le sucre,fr,France,,"Comédie,Drame,Thriller",1978,1978-10-15,104,0.0,0.0,2.515,6.3,563
20709,10069,tt0078377,81198,Le témoin,Le témoin,fr,France,,"Comédie,Crime,Drame",1978,1978-09-20,90,0.0,0.0,2.531,6.4,431
20710,10082,tt0078419,68943,Trocadéro bleu citron,Trocadéro bleu citron,fr,France,,"Famille,Romance",1978,1978-08-30,90,0.0,0.0,0.84,6.0,140
20711,10096,tt0078439,74809,Un papillon sur l'épaule,Un papillon sur l'épaule,fr,France,"death, telephone call","Drame,Thriller",1978,1978-05-03,95,0.0,0.0,4.102,6.7,854
20712,10097,tt0078440,355922,Un second souffle,Un second souffle,fr,"France, Switzerland",,Drame,1978,1978-09-12,95,0.0,0.0,0.6,6.3,38
20713,10098,tt0078441,42177,Un si joli village...,Un si joli village...,fr,France,,"Crime,Drame,Mystère",1979,1979-02-28,116,0.0,0.0,1.94,6.4,173
20714,10125,tt0078530,67430,Zoo zéro,Zoo zéro,fr,France,"zoo, nightclub, singer","Drame,Mystère,Science-Fiction",1979,1979-05-09,101,0.0,0.0,1.709,5.3,196
20715,10127,tt0078548,496559,Éclair au chocolat,Éclair au chocolat,fr,Canada,,"Drame,Romance",1979,1979-02-22,107,422117.0,0.0,0.647,5.4,38
20716,10128,tt0078549,346535,Écoute voir...,Écoute voir...,fr,France,,"Drame,Mystère,Science-Fiction,Thriller",1978,1979-12-07,124,0.0,0.0,0.971,5.7,207
20717,10129,tt0078550,265586,L'état sauvage,L'état sauvage,fr,France,,Drame,1978,1978-04-18,115,0.0,0.0,1.297,5.9,155
20718,10151,tt0078785,414962,Anthracite,Anthracite,fr,,,Drame,1980,1980-09-08,90,0.0,0.0,0.6,6.0,46
20719,10160,tt0078808,338101,Au revoir à lundi,Au revoir... à lundi,fr,,,Drame,1979,1979-08-21,105,0.0,0.0,0.958,5.6,79
20720,10164,tt0078830,363078,"Bastien, Bastienne","Bastien, Bastienne",fr,France,,Drame,1979,1979-01-01,105,0.0,0.0,0.6,7.0,44
20721,10169,tt0078844,252091,Les belles manières,Les belles manières,fr,France,"france, seduction, dysfunctional family",Drame,1978,1978-10-24,86,0.0,0.0,0.618,6.9,94
20722,10191,tt0078889,74369,Bobo Jacco,Bobo Jacco,fr,,,Drame,1979,1979-11-07,90,0.0,0.0,0.646,6.4,24
20723,10209,tt0078923,52877,"C'est pas moi, c'est lui","C'est pas moi, c'est lui",fr,France,,"Aventure,Comédie",1980,1980-01-23,105,0.0,0.0,2.335,5.5,782
20724,10224,tt0078947,66695,Cause toujours... tu m'intéresses!,La liaison téléphonique,fr,France,,"Comédie,Drame",1979,1979-04-18,97,0.0,0.0,2.588,6.0,330
20725,10229,tt0078954,4800,Charles et Lucie,Charles et Lucie,fr,France,"southern france, woman director","Comédie,Drame,Romance",1979,1979-09-05,95,0.0,0.0,2.57,6.5,285
20726,10230,tt0078962,42155,Le cheval d'orgueil,Le cheval d'orgueil,fr,France,,Drame,1980,1980-09-24,120,0.0,0.0,1.116,6.2,315
20727,10235,tt0078978,4948,Clair de femme,Clair de femme,fr,"France, Germany, Italy",,Drame,1979,1979-08-29,98,0.0,0.0,4.13,6.4,992
20728,10236,tt0078981,185875,Gros câlin,Gros câlin,fr,,,Comédie,1979,1979-12-05,95,0.0,0.0,1.799,6.3,40
20729,10243,tt0079003,256431,Courage fuyons,Courage fuyons,fr,France,"pharmacist, cowardice, singer, coward","Comédie,Romance",1979,1979-10-17,100,0.0,0.0,2.67,6.1,461
20730,10256,tt0079032,134592,De grands événements et des gens ordinaires,De grands événements et des gens ordinaires,fr,France,,Documentaire,1979,1980-02-24,65,0.0,0.0,0.936,7.5,58
20731,10268,tt0079059,565883,Le divorcement,Le divorcement,fr,,,Drame,1979,1979-08-22,120,0.0,0.0,0.6,5.1,32
20732,10273,tt0079075,11786,Dracula père et fils,Dracula père et fils,fr,France,"vampire, dracula","Comédie,Fantastique,Horreur",1976,1976-09-14,78,0.0,0.0,3.03,5.4,872
20733,10278,tt0079086,63113,La drôlesse,La drôlesse,fr,France,"based on true story, dysfunctional family, child kidnapping, manipulative, adult child friendship",Drame,1979,1979-05-23,90,0.0,0.0,3.643,6.8,714
20734,10280,tt0079091,85363,La dérobade,La dérobade,fr,France,"based on novel or book, brothel, pimp, exploitation, seduction, masochism, prostitution, physical abuse, streetwise",Drame,1979,1979-10-17,100,0.0,0.0,3.148,6.4,710
20735,10295,tt0079121,115387,Et la tendresse?... Bordel!,Et la tendresse ?... Bordel !,fr,France,,Comédie,1979,1979-02-28,95,0.0,0.0,3.097,6.0,406
20736,10300,tt0079145,136914,La femme flic,La femme flic,fr,France,"corruption, prostitution","Crime,Drame,Thriller",1980,1980-01-08,103,0.0,13600000.0,4.133,6.9,553
20737,10334,tt0079250,136922,La guerre des polices,La guerre des polices,fr,France,"female police officer, cops war","Crime,Drame,Thriller",1979,1979-11-14,100,0.0,0.0,3.106,6.0,398
20738,10335,tt0079251,4268,La gueule de l'autre,La Gueule de l'autre,fr,France,"assassination, doppelgänger","Comédie,Crime",1979,1979-12-12,100,0.0,0.0,2.313,6.0,331
20739,10339,tt0079260,251133,Haine,Le crédo de la violence,fr,France,,"Drame,Thriller",1980,1980-01-09,87,0.0,0.0,1.224,5.1,236
20740,10355,tt0079320,80286,Les héroïnes du mal,Les héroïnes du mal,fr,France,,Drame,1979,1979-03-07,114,0.0,0.0,9.289,5.2,926
20741,10358,tt0079326,341678,Il y a longtemps que je t'aime,Il y a longtemps que je t'aime,fr,,"husband wife relationship, divorce","Drame,Romance",1979,1979-09-18,93,0.0,0.0,0.73,6.0,65
20742,10403,tt0079497,96492,La légion saute sur Kolwezi,La légion saute sur Kolwezi,fr,France,"congo, foreign legion, combat, parachutist","Aventure,Drame,Guerre",1980,1980-01-09,96,0.0,0.0,3.022,5.6,426
20743,10422,tt0079543,432279,Melancoly Baby,Melancoly Baby,fr,France,,"Drame,Romance",1979,1979-08-29,96,0.0,0.0,1.4,5.7,68
20744,10423,tt0079548,108759,Messidor,Messidor,fr,"France, Switzerland",,"Aventure,Crime,Drame",1979,1979-03-14,123,0.0,0.0,0.94,7.2,582
20745,10427,tt0079578,103302,Le mors aux dents,Le Mors aux dents,fr,France,,"Drame,Thriller",1979,1979-09-01,99,0.0,0.0,1.206,6.1,87
20746,10435,tt0079601,164246,La mémoire courte,La mémoire courte,fr,France,,"Drame,Thriller",1979,1982-03-03,105,0.0,0.0,1.648,5.8,149
20747,10463,tt0079689,102483,Paco l'infaillible,Paco l'infaillible,fr,"Spain, France",,"Comédie,Drame",1979,1979-10-03,80,0.0,0.0,1.494,5.2,54
20748,10479,tt0079742,245567,Pourquoi pas!,Pourquoi pas!,fr,France,"bisexuality, threesome, lgbt, woman director, gay theme","Comédie,Drame,Romance",1977,1977-12-21,93,0.0,0.0,0.841,7.2,328
20749,10487,tt0079761,66955,Le pull-over rouge,Le pull-over rouge,fr,France,,"Crime,Drame,Histoire",1979,1979-10-07,120,0.0,0.0,1.229,7.0,186
20750,10493,tt0079787,293076,Moments de la vie d'une femme,Moments de la vie d'une femme,fr,"France, Israel",woman director,Drame,1979,1979-05-13,92,0.0,0.0,1.125,6.4,81
20751,10496,tt0079797,65702,Retour à la bien-aimée,Retour à la bien-aimée,fr,France,,"Crime,Drame,Romance",1979,1979-05-02,98,0.0,0.0,1.552,5.7,241
20752,10575,tt0080038,52546,Le toubib,Le toubib,fr,France,,"Drame,Guerre",1979,1979-10-26,90,0.0,0.0,3.925,5.2,685
20753,10579,tt0080041,159894,Tous vedettes!,Tous vedettes!,fr,France,,"Comédie,Comédiemusicale,Musique,Romance",1980,1980-01-16,120,0.0,0.0,1.016,6.3,103
20754,10603,tt0080125,271858,West Indies,West Indies,fr,"Algeria, France, Mauritania",musical,"Comédiemusicale,Drame,Musique",1979,1979-01-02,110,1350000.0,0.0,1.072,7.1,280
20755,10627,tt0080184,76348,À nous deux,À nous deux,fr,"France, Canada",,Drame,1979,1979-05-23,112,4100000.0,0.0,1.682,6.3,525
20756,10628,tt0080186,105033,Les égouts du paradis,Les égouts du paradis,fr,France,,"Action,Crime,Drame",1979,1979-03-14,115,0.0,0.0,2.014,6.1,339
20757,10638,tt0080355,150983,Allons z'enfants,Allons z'enfants,fr,France,,"Drame,Guerre",1981,1981-03-04,118,0.0,0.0,3.251,7.4,417
20758,10660,tt0080415,4370,La banquière,La Banquière,fr,France,"banker, paris, france, bisexuality, finances, money, execution, lgbt","Comédie,Drame",1980,1980-08-27,131,0.0,0.0,3.716,6.2,882
20759,10682,tt0080466,698092,Le borgne,Le borgne,fr,,,Drame,1980,1980-01-01,72,0.0,0.0,0.6,6.3,10
20760,10684,tt0080470,299707,International Prostitution: Brigade criminelle,International Prostitution,fr,"France, Italy, Hong Kong","prostitute, murder, hong kong, escaped prisoner, erotic movie, prostitution ring, french police","Crime,Drame",1980,1980-06-18,88,0.0,0.0,0.67,5.1,62
20761,10703,tt0080509,348288,Celles qu'on n'a pas eues...,Celles qu'on n'a pas eues...,fr,France,,Comédie,1981,1981-02-25,105,0.0,0.0,1.39,5.7,187
20762,10704,tt0080511,330071,Certaines nouvelles,Certaines nouvelles,fr,,,"Comédie,Drame",1980,1980-03-12,97,0.0,0.0,0.6,6.5,36
20763,10720,tt0080541,49959,Clara et les Chics Types,Clara et les Chics Types,fr,France,,"Comédie,Drame,Musique",1981,1981-01-14,110,0.0,0.0,3.798,5.7,510
20764,10724,tt0080552,335925,Cocktail Molotov,Cocktail Molotov,fr,France,woman director,Drame,1980,1980-02-06,100,0.0,0.0,1.607,6.0,164
20765,10745,tt0080611,134055,Dernier été,Dernier été,fr,France,,"Comédie,Drame",1981,1981-11-25,85,0.0,0.0,0.93,6.6,149
20766,10748,tt0080619,204422,Deux lions au soleil,Deux lions au soleil,fr,,"gay interest, road movie","Comédie,Drame",1980,1980-10-29,110,0.0,0.0,0.706,5.9,44
20767,10778,tt0080718,198504,Fantastica,Fantastica,fr,Canada,,"Comédiemusicale,Drame,Musique",1980,1980-05-07,110,2000000.0,0.0,0.781,5.2,148
20768,10811,tt0080793,330044,Girls,Girls,fr,"Canada, France, Germany",,"Comédie,Drame",1980,1980-05-07,95,0.0,0.0,1.502,5.2,144
20769,10820,tt0080830,161676,Guns,Guns,fr,France,,"Crime,Drame",1980,1980-11-18,90,0.0,0.0,0.6,6.3,29
20770,10845,tt0080899,241792,Plein sud,Plein sud,fr,France,"hotel, infidelity, barcelona, spain, seduction, money","Drame,Romance",1981,1981-04-29,86,0.0,0.0,4.85,5.6,263
20771,10870,tt0080950,51437,Je vais craquer!!!,Je vais craquer!!!,fr,France,,"Comédie,Drame",1980,1980-04-22,105,0.0,0.0,2.39,5.6,374
20772,10871,tt0080951,41814,Je vous aime,Je vous aime,fr,France,,"Comédie,Drame,Romance",1980,1980-12-17,105,0.0,0.0,2.738,5.8,561
20773,10873,tt0080957,204411,Les jeux de la comtesse Dolingen de Gratz,Les jeux de la comtesse Dolingen de Gratz,fr,France,,Drame,1981,1981-09-01,114,0.0,0.0,1.479,6.2,200
20774,10906,tt0081086,181719,Lulu,Lulu,fr,"France, Italy, Germany","jack the ripper, sexploitation",Drame,1980,1980-11-07,86,0.0,0.0,3.837,5.4,297
20775,10979,tt0081330,64906,La petite sirène,La petite sirène,fr,France,,Drame,1980,1980-08-20,105,0.0,0.0,1.607,6.5,173
20776,10981,tt0081339,64220,Pile ou face,Pile ou face,fr,France,,"Crime,Drame,Mystère,Thriller",1980,1980-08-30,105,0.0,0.0,2.961,6.6,697
20777,10988,tt0081369,333070,Prends 10000 balles et casse-toi,Prends 10000 balles et casse-toi,fr,Algeria,"france, immigration, algeria, maghreb, arabe",Comédie,1981,1981-01-02,90,0.0,0.0,0.637,5.5,36
20778,10993,tt0081385,263581,La provinciale,La provinciale,fr,,,Drame,1980,1981-01-21,107,0.0,0.0,1.295,6.7,216
20779,10994,tt0081387,84393,Psy,Psy,fr,France,,Comédie,1981,1981-02-04,92,0.0,0.0,1.583,6.0,186
20780,10998,tt0081405,335340,Le rebelle,Le rebelle,fr,,,"Crime,Drame",1980,1980-11-12,105,0.0,0.0,0.6,7.1,56
20781,10999,tt0081411,299719,Rendez-moi ma peau...,Rendez-moi ma peau...,fr,France,body-swap,"Comédie,Fantastique",1980,1980-11-05,85,0.0,0.0,0.744,5.3,90
20782,11002,tt0081416,286166,Retour à Marseille,Retour à Marseille,fr,France,,Drame,1980,1980-01-02,117,0.0,0.0,0.6,5.8,56
20783,11031,tt0081513,62790,Signé Furax,Signé Furax,fr,France,"paris, france, investigation, miniaturization, private detective, sect, 1980s, double identity, monuments, based on radio drama","Comédie,Mystère",1981,1981-04-01,90,0.0,0.0,2.204,5.3,204
20784,11060,tt0081591,138100,Les séducteurs,Les séducteurs,fr,"France, Italy","anthology, sex comedy, portmanteau","Comédie,Drame,Romance",1980,1980-10-31,125,0.0,0.0,1.882,5.5,448
20785,11092,tt0081679,63985,Un étrange voyage,Un étrange voyage,fr,France,,Drame,1981,1981-02-04,95,0.0,0.0,2.688,7.0,223
20786,11093,tt0081684,533832,Une robe noire pour un tueur,Une robe noire pour un tueur,fr,France,,"Crime,Drame",1981,1981-01-14,103,0.0,0.0,0.892,6.1,226
20787,11095,tt0081686,71586,Une semaine de vacances,Une semaine de vacances,fr,France,,Drame,1980,1980-06-02,102,0.0,0.0,3.097,6.6,771
20788,11110,tt0081729,81195,Le voyage en douce,Le voyage en douce,fr,France,"midlife crisis, female friendship, exploring sexuality","Comédie,Drame",1980,1980-01-04,98,0.0,0.0,1.481,6.9,753
20789,11146,tt0082014,418801,Jarretelles roses sur bas noirs,Jarretelles roses sur bas noirs,fr,"France, Spain, Switzerland",kidnapping,"Crime,Drame,Thriller",1981,1981-07-15,85,0.0,0.0,1.199,5.0,61
20790,11147,tt0082016,278902,L'amour nu,L'amour nu,fr,France,woman director,"Drame,Romance",1981,1981-10-07,100,0.0,0.0,1.41,6.2,104
20791,11149,tt0082022,375356,L'année prochaine... si tout va bien,L'année prochaine... si tout va bien,fr,France,"love, cartoonist","Comédie,Drame,Romance",1981,1981-08-05,95,0.0,0.0,1.554,5.8,442
20792,11152,tt0082032,354848,Asphalte,Asphalte,fr,France,,"Comédie,Drame",1981,1981-01-07,94,0.0,0.0,1.303,5.4,206
20793,11154,tt0082041,72262,Les babas cool,"Quand tu seras débloqué, fais-moi signe!",fr,France,"commune, rural setting",Comédie,1981,1981-12-16,81,0.0,0.0,4.903,5.3,701
20794,11182,tt0082128,68963,Le cadeau,Le cadeau,fr,"France, Italy",,Comédie,1982,1982-03-24,100,0.0,0.0,2.635,6.1,502
20795,11198,tt0082182,66541,Chère inconnue,Chère inconnue,fr,France,,"Drame,Romance",1980,1980-04-09,112,0.0,0.0,1.506,7.2,447
20796,11208,tt0082217,4239,Croque la vie,Croque la vie,fr,France,"1970s, arts, female friendship, business idea","Comédie,Drame",1981,1981-11-18,105,0.0,0.0,0.6,6.0,93
20797,11314,tt0082471,40055,Le grand pardon,Le grand pardon,fr,France,,"Comédie,Crime,Drame",1982,1982-01-27,130,0.0,0.0,4.694,5.8,814
20798,11334,tt0082510,64100,Hécate,"Hécate, maîtresse de la nuit",fr,"France, Switzerland","diplomat, based on novel or book, magic, africa, nationalism, colony, goddess, european, mysterious","Drame,Romance",1982,1982-10-22,105,0.0,0.0,1.182,5.9,207
20799,11343,tt0082524,81024,Les hommes préfèrent les grosses,Les hommes préfèrent les grosses,fr,France,,Comédie,1981,1981-08-19,86,0.0,0.0,3.171,5.0,559
