,Unnamed: 0,nconst,Nom,birthYear,deathYear,commeRealisateur,commeActeur
41194,41194,nm3532802,Sam Wrench,\N,\N,"tt19637852,tt28814949",pas_de_film
41195,41195,nm2879822,Peter Joseph,\N,\N,tt1965308,pas_de_film
41196,41196,nm0003394,Lawrence Sher,\N,\N,tt1966359,pas_de_film
41197,41197,nm1717925,Bart Layton,\N,\N,"tt1966604,tt6212478",pas_de_film
41198,41198,nm0285379,Maya Forbes,1968,\N,"tt1969062,tt3104956,tt5539052",pas_de_film
41199,41199,nm2666818,Justin Wu,\N,\N,tt19704542,pas_de_film
41200,41200,nm6567672,Jade Osiberu,\N,\N,tt19704612,pas_de_film
41201,41201,nm2444204,Lucie Jourdan,\N,\N,tt19704638,pas_de_film
41202,41202,nm9075613,Jae-Hoon Choi,\N,\N,"tt19713090,tt7035004",pas_de_film
41203,41203,nm2520393,Seong-yun Oh,\N,\N,tt1971466,pas_de_film
41204,41204,nm0989305,Fabio Grassadonia,1968,\N,"tt1971514,tt5375434",pas_de_film
41205,41205,nm0988803,Antonio Piazza,1970,\N,"tt1971514,tt5375434",pas_de_film
41206,41206,nm1976187,Davy Chou,1983,\N,"tt19719836,tt2087847,tt5689590",pas_de_film
41207,41207,nm7832675,Lise Akoka,\N,\N,tt19719862,pas_de_film
41208,41208,nm8030726,Romane Gueret,\N,\N,tt19719862,pas_de_film
41209,41209,nm6433472,Chie Hayakawa,1976,\N,tt19719904,pas_de_film
41210,41210,nm8093048,Shigeaki Kubo,\N,\N,tt19759618,pas_de_film
41211,41211,nm0024925,Hossein Amini,1966,\N,tt1976000,pas_de_film
41212,41212,nm8857559,Emmanuelle Nicot,1985,\N,tt19768016,pas_de_film
41213,41213,nm1955854,Choi Jin-sung,\N,\N,tt19768508,pas_de_film
41214,41214,nm2421181,Danny Mooney,1985,\N,tt1976989,pas_de_film
41215,41215,nm3834799,Charlotte Wells,1987,\N,tt19770238,pas_de_film
41216,41216,nm1108327,Gôshô Aoyama,1963,\N,tt19770970,pas_de_film
41217,41217,nm4679096,Susumu Mitsunaka,\N,\N,tt19770970,pas_de_film
41218,41218,nm1745389,Rob Pearlstein,\N,\N,tt1978532,pas_de_film
41219,41219,nm0427580,Bill Jones,1976,\N,tt1979172,pas_de_film
41220,41220,nm2461935,Jeff Simpson,\N,\N,tt1979172,pas_de_film
41221,41221,nm1507245,Ben Timlett,\N,\N,tt1979172,pas_de_film
41222,41222,nm2155757,Josh Cooley,\N,\N,"tt1979376,tt8864596",pas_de_film
41223,41223,nm1424282,Rowan Athale,\N,\N,"tt1981140,tt2866708",pas_de_film
41224,41224,nm4772133,July Jung,1980,\N,"tt19820538,tt3661798",pas_de_film
41225,41225,nm3160595,Richard Bates Jr.,\N,\N,tt1984153,pas_de_film
41226,41226,nm1415801,Jerusha Hess,1980,\N,tt1985019,pas_de_film
41227,41227,nm3516084,Léa Domenach,\N,\N,tt19858184,pas_de_film
41228,41228,nm0717678,Fergal Reilly,\N,\N,tt1985949,pas_de_film
41229,41229,nm2329165,Kris Pearn,\N,\N,"tt1985966,tt5206260",pas_de_film
41230,41230,nm3957989,Stelana Kliris,\N,\N,tt19862722,pas_de_film
41231,41231,nm3536577,Ayuko Tsukahara,\N,\N,"tt19869122,tt8315128",pas_de_film
41232,41232,nm0033596,Louise Archambault,1970,\N,"tt19869662,tt3106846,tt10441486,tt11349958",pas_de_film
41233,41233,nm0385978,David Hinton,\N,\N,tt19895822,pas_de_film
41234,41234,nm3438923,Bomani J. Story,\N,\N,tt19896150,pas_de_film
41235,41235,nm0868650,Gabe Torres,\N,\N,tt1990181,pas_de_film
41236,41236,nm1161979,Eduardo Rodriguez,\N,\N,tt1990216,pas_de_film
41237,41237,nm1500577,Jake Schreier,\N,\N,"tt1990314,tt3622592",pas_de_film
41238,41238,nm0662086,Bradley Parker,\N,\N,tt1991245,pas_de_film
41239,41239,nm3838717,David Beton,\N,\N,tt1992258,pas_de_film
41240,41240,nm1953841,Travis Mathews,\N,\N,"tt1995329,tt2352488",pas_de_film
41241,41241,nm1637474,Jamie Travis,1979,\N,tt1996264,pas_de_film
41242,41242,nm0718671,Edgar Reitz,1932,\N,tt1998204,pas_de_film
41243,41243,nm0687427,Gregory Plotkin,\N,\N,tt1999890,pas_de_film
41244,41244,nm1428946,David Guy Levy,\N,\N,tt1999995,pas_de_film
41245,41245,nm2156502,Jesse Baget,\N,\N,tt2005164,pas_de_film
41246,41246,nm2421768,Yoichi Mouri,1970,\N,tt2005363,pas_de_film
41247,41247,nm1960428,Scott Walker,\N,\N,tt2005374,pas_de_film
41248,41248,nm1760744,Beom-gu Cho,\N,\N,tt2007413,pas_de_film
41249,41249,nm4557079,Bess Kargman,\N,\N,tt2008513,pas_de_film
41250,41250,nm1509945,David Scheinmann,\N,\N,tt2009606,pas_de_film
41251,41251,nm2107414,Shane Atkinson,\N,\N,tt20102596,pas_de_film
41252,41252,nm0589284,Sam Miller,1962,\N,tt2011159,pas_de_film
41253,41253,nm1324710,Martin Zandvliet,1971,\N,tt2011311,pas_de_film
41254,41254,nm11956672,Sam H. Freeman,\N,\N,tt20114686,pas_de_film
41255,41255,nm12040292,Ng Choon Ping,\N,\N,tt20114686,pas_de_film
41256,41256,nm3525861,Jenn Wexler,\N,\N,"tt20114976,tt6598072",pas_de_film
41257,41257,nm0324521,Kevin Goetz,\N,\N,tt2012011,pas_de_film
