,nconst,Action,Actualités,Animation,Aventure,Biographie,Comédie,Comédiemusicale,Crime,Documentaire,Drame,Famille,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Sport,Thriller,Téléfilm,Western,nb_films_y,anneeSortie,nbVotes
14076,nm0614448,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1995.0,7698.0
14077,nm0614526,1,0,0,1,0,5,0,3,0,6,1,1,1,2,3,1,1,3,2,0,3,0,0,11,1984.0,24101.0
14078,nm0614641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1993.0,21987.0
14079,nm0614677,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,3,1967.0,115326.0
14080,nm0614877,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,0,1,2,1,0,3,0,0,6,2012.0,44066.0
14081,nm0614916,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1968.0,20482.0
14082,nm0614926,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014.0,1021.0
14083,nm0615025,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2001.0,129.0
14084,nm0615031,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1965.0,1120.0
14085,nm0615063,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,3,2004.0,30461.0
14086,nm0615066,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1985.0,4513.0
14087,nm0615089,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1992.0,9411.0
14088,nm0615211,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1964.0,1291.0
14089,nm0615278,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1977.0,3148.0
14090,nm0615511,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1969.0,1022.0
14091,nm0615531,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,2,1996.0,3338.0
14092,nm0615540,3,0,0,0,0,1,0,3,0,4,0,0,1,0,1,1,1,1,0,0,4,0,1,6,1970.0,7047.0
14093,nm0615617,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1979.0,14583.0
