,nconst,Action,Actualités,Animation,Aventure,Biographie,Comédie,Comédiemusicale,Crime,Documentaire,Drame,Famille,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Sport,Thriller,Téléfilm,Western,nb_films,anneeSortie,nbVotes
1467,nm0120327,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1989.0,1162.0
1468,nm0120729,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2009.0,4847.0
1469,nm0120987,1,0,0,0,0,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,3,2004.0,3571.0
1470,nm0121169,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1970.0,2123.0
1471,nm0121653,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2005.0,16585.0
1472,nm0121789,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2002.0,10352.0
1473,nm0121871,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2017.0,3648.0
1474,nm0122127,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1998.0,11184.0
1475,nm0122184,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2008.0,1920.0
1476,nm0122223,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2008.0,3509.0
1477,nm0122335,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2014.0,13236.0
1478,nm0122344,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1992.0,3366.0
1479,nm0122427,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016.0,82428.0
1480,nm0122567,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2015.0,17204.0
1481,nm0122602,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2002.0,2679.0
1482,nm0122615,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2007.0,3272.0
1483,nm0122653,1,0,0,0,0,5,0,1,0,7,0,0,0,0,0,1,0,6,0,0,1,0,0,7,2001.0,6865.0
1484,nm0122964,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1978.0,116.0
