,nconst
1400,nm0647970
1401,nm0943978
1402,nm0456565
1409,nm0162948
1410,nm0665186
1411,nm0181122
1412,nm0346751
1419,nm0001333
1420,nm0001509
1421,nm0405035
1422,nm0576127
1429,nm0001526
1430,nm0585004
1431,nm0086198
1432,nm0365173
1439,nm0001509
1440,nm0000511
1441,nm0731772
1442,nm0749476
1449,nm0786891
1450,nm0016617
1451,nm0685782
1452,nm0078097
1459,nm0000052
1460,nm0696163
1461,nm0301398
1462,nm0709951
1469,nm0690646
1470,nm0852674
1471,nm0197982
1472,nm0810342
1479,nm0001961
1480,nm0762378
1481,nm0002088
1482,nm0943956
1489,nm0001362
1490,nm0001805
1491,nm0656712
1492,nm0001380
1499,nm0001333
1500,nm0001260
1501,nm0587256
1502,nm0236866
1509,nm0757663
1510,nm0920628
1511,nm0920628
1512,nm0798270
1525,nm0056191
1526,nm0565267
1527,nm0875918
1528,nm0167329
1535,nm0000062
1536,nm0085751
1537,nm0001450
1538,nm0910322
1545,nm0000030
1546,nm0000577
1547,nm0623658
1548,nm0001171
1555,nm0619227
1556,nm0949030
1557,nm0592756
1558,nm0848533
1565,nm0001088
1566,nm0603682
1567,nm0894710
1568,nm0083424
1575,nm0300064
1576,nm0138987
1577,nm0741147
1578,nm0088396
1585,nm0000030
1586,nm0000511
1587,nm0001258
1588,nm0394244
1596,nm0000047
1597,nm0000901
1598,nm0885203
1599,nm0113505
1606,nm0001983
1607,nm0557159
1608,nm0545352
1609,nm0760701
1617,nm0000078
1618,nm0926183
1619,nm0000839
1620,nm0675490
1627,nm0001369
1628,nm0518178
1629,nm0000364
1630,nm0201239
1637,nm0714835
1638,nm0278258
1639,nm0329340
1640,nm0710701
1647,nm0262647
1648,nm0001657
1649,nm0738635
1650,nm0271432
1657,nm0431837
1658,nm0613130
1659,nm0571674
1660,nm0328982
1667,nm0000058
1668,nm0001417
1669,nm0168215
1670,nm0932629
1677,nm0000075
1678,nm0000069
1679,nm0558663
1680,nm0001922
1687,nm0272794
1688,nm0148974
1689,nm0323022
1690,nm0746290
1697,nm0143599
1698,nm0940579
1699,nm0033692
1700,nm0446052
1707,nm0000901
1708,nm0716577
1709,nm0220852
1710,nm0499151
1717,nm0000032
1718,nm0000047
1719,nm0885203
1720,nm0656180
1727,nm0661918
1728,nm0000489
1729,nm0749333
1730,nm0034068
1737,nm0001471
1738,nm0002046
1739,nm0573830
1740,nm0921879
1748,nm0001989
1749,nm0002001
1750,nm0000964
1751,nm0001976
1758,nm0477088
1759,nm0793363
1760,nm0284538
1761,nm0814530
1768,nm0001229
1769,nm0862026
1770,nm0000964
1771,nm0002011
1778,nm0226947
1779,nm0366247
1780,nm0926183
1781,nm0445523
1788,nm0007042
1789,nm0000125
1790,nm0339992
1791,nm0548767
1798,nm0202405
1799,nm0162283
1800,nm0507708
1801,nm0741147
1808,nm0201626
1809,nm0130286
1810,nm0909117
1811,nm0005348
1818,nm0000006
1819,nm0598971
1820,nm0000578
1821,nm0484829
1828,nm0871272
1829,nm0843213
1830,nm0935844
1831,nm0722405
1838,nm0187981
1839,nm0619802
1840,nm0533260
1841,nm0534280
1848,nm0240638
1849,nm0959923
1850,nm0301556
1851,nm0617741
1858,nm0000057
1859,nm0000060
1860,nm0000063
1861,nm0703033
1869,nm0179148
1870,nm0107746
1871,nm0503122
1872,nm0120326
1879,nm0000537
1880,nm0063353
1881,nm0001380
1882,nm0696038
1889,nm0000056
1890,nm0001276
1891,nm0001453
1892,nm0001715
1899,nm0000039
1900,nm0943936
1901,nm0420923
1902,nm0714878
1908,nm0000638
1909,nm0561702
1910,nm0526786
1911,nm0256364
1918,nm0593192
1919,nm0450300
1920,nm0450326
1921,nm0034068
1928,nm0615211
1929,nm0789970
1930,nm0021410
1931,nm0550646
1938,nm0000075
1939,nm0000044
1940,nm0001847
1941,nm0000017
1948,nm0603402
1949,nm0921459
1950,nm0785676
1951,nm0881752
1959,nm0001374
1960,nm0571430
1961,nm0368836
1962,nm0709681
1969,nm0620131
1970,nm0361697
1971,nm0875362
1972,nm0033171
1979,nm0001471
1980,nm0001471
1981,nm0871182
1982,nm0822569
1990,nm0001369
1991,nm0000018
1992,nm0540416
1993,nm0001072
2000,nm0000901
2001,nm0728938
2002,nm0876567
2003,nm0592317
2010,nm0000733
2011,nm0584879
2012,nm0362096
